id,name,description,version,effectiveDate,expiryDate,cost,category,revisionSummary,sourceUrl,lastVerified,verifiedBy,stressType
std-12,ISTA,International Safe Transit Association Standards,Check Online,,,,MOXA Standard,,https://www.ista.org/test_procedures.php,2024-11-24,Manual - ISTA Website,packaging
std-13,DNV-CG-0339,"Environmental test specification for electrical, electronic and programmable equipment and systems",2021,2021-08-01,,$57.00,Marine Standard,[2026/1/8更新] 價格: Free → $57.00,https://store.accuristech.com/standards/dnv-dnv-cg-0339?product_id=2842682,2024-11-24,Manual - DNV Website,marine
std-13b,IEC 60945,Maritime navigation and radiocommunication equipment and systems,Ed. 4.0 (2002),2002-08-14,2028 (Stability),CHF 380,Marine Standard,,https://webstore.iec.ch/en/publication/3959,2024-11-24,Manual - IEC Webstore,marine
std-14,IACS E10,Test Specification for Type Approval,Rev. 10 (2024),2024-08-01,,Free,Marine Standard,,https://iacs.org.uk/resolutions/unified-requirements/ur-e/,2024-12-11,Manual - IACS Website,marine
std-15,EN 50155,Railway applications - Rolling stock - Electronic equipment,2021,2021-06-25,,,Railway Standard,,https://knowledge.bsigroup.com/search?q=EN%2050155,2024-11-24,Manual - BSI Knowledge,railway
std-16,IEC 61373,Railway applications - Rolling stock equipment - Shock and vibration tests,Ed. 2.0 (2010),2010-05-31,2026 (Stability),CHF 260,Railway Standard,,https://webstore.iec.ch/en/publication/5395,2024-12-30,Crawler - IEC Webstore,vibration
std-17,IEC 61850-3,Communication networks and systems for power utility automation,Ed. 2.0 (2013),2013-12-12,2026 (Stability),CHF 380,Power Station,,https://webstore.iec.ch/en/publication/6010,2024-11-24,Manual - IEC Webstore,emc
std-18a,IEC 60255-21-1,"Electrical relays - Part 21: Vibration, shock, bump and seismic tests - Section 1: Vibration tests (sinusoidal)",Ed. 1.0 (1988),1988-09-30,2026 (Stability),CHF 40,Power Station,,https://webstore.iec.ch/en/publication/1167,2024-11-24,Manual - IEC Webstore,vibration
std-18b,IEC 60255-21-2,"Electrical relays - Part 21: Vibration, shock, bump and seismic tests - Section 2: Shock and bump tests",Ed. 1.0 (1988),1988-10-31,2026 (Stability),CHF 80,Power Station,,https://webstore.iec.ch/en/publication/1168,2024-11-24,Manual - IEC Webstore,shock
std-18c,IEC 60255-21-3,"Electrical relays - Part 21: Vibration, shock, bump and seismic tests - Section 3: Seismic tests",Ed. 1.0 (1993),1993-09-21,2026 (Stability),CHF 80,Power Station,,https://webstore.iec.ch/en/publication/1169,2024-11-24,Manual - IEC Webstore,vibration
std-19,IEEE 1613,Environmental and Testing Requirements for Communications Networking Devices in Electric Power Substations,2023,2024-02-26,,,Power Station,,https://standards.ieee.org/ieee/1613/10454/,2024-11-24,Manual - IEEE Standards,emc
